SchoolName,District,CountyName,Rate_LI,Rate_Sped,chronicabsenteeismrate,predicted,residual,residual_z
Casterlin Elementary,Southern Humboldt Joint Unified,Humboldt,94.87179487179486,0.0,65.0,20.58231376268767,44.41768623731233,5.446255440305753
Happy Camp High,Siskiyou Union High,Siskiyou,90.2439024390244,14.634146341463412,55.8,30.78527730834154,25.014722691658456,3.067169433799579
PACE Academy,Enterprise Elementary,Shasta,86.36363636363636,22.727272727272727,55.9,27.645623407265568,28.25437659273443,3.464398199592905
Herlong High,Lassen Union High,Lassen,71.73913043478261,13.043478260869565,50.0,26.33561736219694,23.66438263780306,2.901598070507926
Herlong High,Lassen Union High,Lassen,71.73913043478261,13.043478260869565,50.0,26.33561736219694,23.66438263780306,2.901598070507926
Herlong High,Fort Sage Unified,Lassen,71.73913043478261,13.043478260869565,50.0,26.33561736219694,23.66438263780306,2.901598070507926
Herlong High,Fort Sage Unified,Lassen,71.73913043478261,13.043478260869565,50.0,26.33561736219694,23.66438263780306,2.901598070507926
Pope Valley Elementary,Pope Valley Union Elementary,Napa,69.56521739130434,13.043478260869565,62.5,21.493514212826547,41.00648578717345,5.027992568388396
Tioga High,Big Oak Flat-Groveland Unified,Tuolumne,51.02040816326531,12.244897959183673,48.1,21.735064231869544,26.364935768130458,3.232725227814134
Thurgood Marshall,Compton Unified,Los Angeles,92.15686274509804,7.84313725490196,89.3,28.981945062010404,60.318054937989594,7.3958722905906304
McCloud Elementary,McCloud Union Elementary,Siskiyou,85.18518518518519,11.11111111111111,46.7,23.977761539176644,22.72223846082336,2.7860774686014325
Sierra Primary,Herlong Elementary,Lassen,68.33333333333333,21.666666666666668,50.8,23.500044559433913,27.299955440566084,3.347372261668808
Sierra Primary,Herlong Elementary,Lassen,68.33333333333333,21.666666666666668,50.8,23.500044559433913,27.299955440566084,3.347372261668808
Sierra Primary,Fort Sage Unified,Lassen,68.33333333333333,21.666666666666668,50.8,23.500044559433913,27.299955440566084,3.347372261668808
Sierra Primary,Fort Sage Unified,Lassen,68.33333333333333,21.666666666666668,50.8,23.500044559433913,27.299955440566084,3.347372261668808
Dunsmuir High,Dunsmuir Joint Union High,Siskiyou,72.1311475409836,21.311475409836063,52.4,29.62732887986791,22.772671120132088,2.792261247370587
Peninsula Union,Peninsula Union,Humboldt,81.81818181818183,21.21212121212121,62.3,27.20282480276074,35.09717519723925,4.303424999133736
Pine Ridge Elementary,Pine Ridge Elementary,Fresno,35.82089552238806,11.940298507462686,35.6,14.077325859907361,21.52267414009264,2.638993406796153
Lincoln Elementary,Vallejo City Unified,Solano,92.85714285714286,8.571428571428571,53.6,23.493474313204175,30.106525686795827,3.691498661915402
Harmony Elementary,Harmony Union Elementary,Sonoma,26.76056338028169,7.042253521126761,33.8,9.212324300751504,24.587675699248493,3.0148072510138126
Annie E. Cheney Kindergarten,Coalinga-Huron Unified,Fresno,70.27027027027027,2.702702702702702,41.3,16.537282637906493,24.762717362093504,3.0362699090067675
Happy Camp Union Elementary,Happy Camp Union Elementary,Siskiyou,45.56962025316456,17.72151898734177,53.6,18.340999475574158,35.25900052442584,4.323267141830239
Loleta Elementary,Loleta Union Elementary,Humboldt,87.8048780487805,28.04878048780488,53.5,31.097288738170498,22.402711261829502,2.746898778911286
'O Me-nok Learning Center,Del Norte County Unified,Del Norte,87.20930232558139,23.25581395348837,53.8,28.02598188422445,25.774018115775547,3.1602701147378665
Carver (George Washington) Elementary,San Francisco Unified,San Francisco,86.02150537634408,15.053763440860216,67.3,24.59508695447648,42.70491304552352,5.236244494126533
Malcolm X Academy,San Francisco Unified,San Francisco,83.50515463917526,24.742268041237114,62.4,27.836125059272927,34.563874940727075,4.23803461819791
Big Pine Elementary,Big Pine Unified,Inyo,54.54545454545454,13.223140495867767,42.7,17.366142627417844,25.33385737258216,3.1062999950558496
El Dorado Elementary,San Francisco Unified,San Francisco,74.21875,22.65625,45.9,25.10306712008879,20.796932879911207,2.550006955196673
Point Arena High,Point Arena Joint Union High,Mendocino,56.48854961832062,16.793893129770993,58.2,24.63382620191326,33.566173798086744,4.115701922909075
Brookfield Elementary,Oakland Unified,Alameda,100.0,10.526315789473683,56.4,25.731724686506503,30.668275313493496,3.760377350106096
Cobb (William L.) Elementary,San Francisco Unified,San Francisco,70.8955223880597,21.64179104477612,55.0,24.02096631732531,30.97903368267469,3.798480853510825
Mokelumne Hill Elementary,Calaveras Unified,Calaveras,53.02013422818792,19.463087248322147,45.5,19.473300763722335,26.026699236277665,3.191252501344965
Young Explorers Academy,Perris Elementary,Riverside,76.66666666666667,16.0,56.4,23.0253073196012,33.374692680398795,4.092223548251014
Transitional Kindergarten Center,Los Banos Unified,Merced,75.90361445783132,8.433734939759036,53.1,19.92924982375303,33.17075017624697,4.067217226066375
Stockton High,Stockton Unified,San Joaquin,93.19371727748693,4.712041884816754,96.9,27.543292697688706,69.35670730231129,8.504142751803158
Trinity Valley Elementary,Klamath-Trinity Joint Unified,Humboldt,64.5,18.5,53.5,21.476590277237015,32.023409722762985,3.926536571219007
Drew (Charles) College Preparatory Academy,San Francisco Unified,San Francisco,74.5,10.0,44.3,20.246781432171495,24.0532185678285,2.949275020360133
Leataata Floyd Elementary,Sacramento City Unified,Sacramento,97.01492537313432,13.930348258706468,52.3,26.435386024135436,25.86461397586456,3.171378487048005
Stege Elementary,West Contra Costa Unified,Contra Costa,84.44444444444444,10.666666666666668,57.7,22.56496108118828,35.13503891881172,4.308067643023437
Oakland Academy of Knowledge Elementary,Oakland Unified,Alameda,93.5064935064935,17.74891774891775,49.0,27.191638097025823,21.808361902974177,2.674022888622591
Spring Valley Elementary,San Francisco Unified,San Francisco,69.23076923076923,18.803418803418804,47.6,22.574063666861747,25.025936333138254,3.0685443896130966
Arena Elementary,Arena Union Elementary,Mendocino,64.85355648535564,17.154811715481173,45.7,21.027457363073047,24.672542636926956,3.0252131739735084
Redding Elementary,San Francisco Unified,San Francisco,73.75,11.25,47.2,20.576855946331165,26.623144053668838,3.264385325378246
Mountain Empire Junior High,Mountain Empire Unified,San Diego,63.26530612244898,17.551020408163264,45.1,22.057271685709686,23.042728314290315,2.8253741937545978
Boron Junior-Senior High,Muroc Joint Unified,Kern,62.450592885375485,18.972332015810277,55.5,26.59563368807583,28.90436631192417,3.544096408665898
Harte (Bret) Elementary,San Francisco Unified,San Francisco,82.49027237354085,13.618677042801556,46.6,23.18785349395889,23.41214650604111,2.870670246003276
Hoopa Valley High,Klamath-Trinity Joint Unified,Humboldt,77.73584905660378,23.0188679245283,77.5,31.332226380656337,46.16777361934366,5.660841649827668
Adelanto Elementary,Adelanto Elementary,San Bernardino,91.76029962546816,10.486891385767793,45.9,23.8914033553516,22.0085966446484,2.698574585110225
Redway Elementary,Southern Humboldt Joint Unified,Humboldt,79.04411764705883,12.867647058823527,45.4,22.182588460845096,23.217411539154902,2.84679290202918
Sanchez Elementary,San Francisco Unified,San Francisco,81.61764705882352,24.264705882352946,47.7,27.141090858198154,20.55890914180185,2.5208217772098234
Ishi Hills Middle,Oroville City Elementary,Butte,68.70748299319727,13.945578231292515,46.9,21.66549543398481,25.23450456601519,3.094117893530254
"Martin Luther King, Jr. Elementary",Oakland Unified,Alameda,98.64864864864865,21.283783783783782,51.7,29.51037412918239,22.18962587081761,2.7207714055976955
Potrero Elementary,Mountain Empire Unified,San Diego,79.33333333333333,7.333333333333333,41.6,20.093459482232877,21.506540517767124,2.6370151896532628
Baechtel Grove Middle,Willits Unified,Mendocino,62.83987915407855,19.033232628398792,46.4,22.426003595701804,23.973996404298195,2.9395612289479796
August Schilling Elementary,Newark Unified,Alameda,57.55813953488372,9.883720930232558,43.7,16.455837577041486,27.244162422958517,3.3405312248788044
Hoopa Valley Elementary,Klamath-Trinity Joint Unified,Humboldt,77.41046831955923,18.732782369146005,65.1,24.003045777942138,41.09695422205786,5.039085316512031
Crestline Elementary,Barstow Unified,San Bernardino,91.37466307277629,12.398921832884096,55.9,24.435277109076843,31.464722890923156,3.8580334262988005
Julius Corsini Elementary,Palm Springs Unified,Riverside,92.69521410579344,16.3727959697733,47.2,26.251826814896887,20.948173185103116,2.568551219986697
Henderson Elementary,Barstow Unified,San Bernardino,79.14572864321609,11.306532663316585,48.0,21.478710952762242,26.521289047237758,3.2518964176955296
Mojave Jr./Sr. High,Mojave Unified,Kern,88.5,23.25,56.8,33.96983963910056,22.830160360899434,2.799310265831733
Birch Grove Primary,Newark Unified,Alameda,31.295843520782395,8.557457212713937,35.9,10.38368519748536,25.51631480251464,3.1286719341317584
