SchoolCode,SchoolName,DistrictCode,CountyName,District,GSserved,Virtual,SOC,VirtStat,TA,SG_SD,SG_DS,ChronicAbsenteeismCount,chronicabsenteeismrate,Cnty_Sch_Cnt,ENR_decile,ENR_quartile,Rate_Sped,Rate_LI
6060339,Nordhoff Jr. High,72520,Ventura,Ojai Unified,7-8,N,62,0,283.0,157.0,41.0,45.0,16.2,178,2,1,14.487632508833922,55.47703180212014
6037733,Rios Elementary,67991,San Diego,Cajon Valley Union,K-5,N,60,0,283.0,222.0,108.0,84.0,31.1,569,2,1,38.16254416961131,78.4452296819788
6033518,Hillsdale Elementary,76505,Sacramento,Twin Rivers Unified,K-6,N,60,0,284.0,251.0,89.0,69.0,26.8,301,2,1,31.338028169014088,88.38028169014085
6045538,Hope Elementary,69211,Santa Barbara,Hope Elementary,K-6,N,60,0,284.0,131.0,51.0,23.0,8.2,108,2,1,17.95774647887324,46.12676056338028
6035133,Southside Elementary,67553,San Benito,Southside Elementary,K-8,N,61,0,284.0,139.0,33.0,36.0,13.2,24,2,1,11.619718309859154,48.943661971830984
6048433,Anne Darling Elementary,69666,Santa Clara,San Jose Unified,K-5,C,60,0,284.0,233.0,86.0,84.0,30.7,319,2,1,30.28169014084507,82.04225352112677
6041065,Peabody (George) Elementary,68478,San Francisco,San Francisco Unified,K-5,N,60,0,284.0,62.0,57.0,20.0,7.2,95,2,1,20.070422535211268,21.830985915492956
6012199,Oakmont Elementary,64394,Los Angeles,Claremont Unified,K-6,N,60,0,284.0,118.0,106.0,44.0,15.9,1598,2,1,37.32394366197183,41.54929577464789
6014351,Sierra Vista Middle,73445,Los Angeles,Hacienda la Puente Unified,6-8,N,62,0,284.0,246.0,63.0,92.0,33.0,1598,2,1,22.183098591549296,86.61971830985915
6031603,Cabazon Elementary,66985,Riverside,Banning Unified,K-5,N,60,0,285.0,270.0,55.0,124.0,44.1,444,2,1,19.298245614035086,94.73684210526315
6054985,Piru Elementary,72454,Ventura,Fillmore Unified,K-5,N,60,0,285.0,219.0,31.0,37.0,13.2,178,2,1,10.87719298245614,76.84210526315789
6001838,Fruitvale Elementary,61259,Alameda,Oakland Unified,K-5,N,60,0,285.0,268.0,92.0,117.0,43.0,296,2,1,32.280701754385966,94.03508771929825
6040265,Washington Elementary,68338,San Diego,San Diego Unified,K-5,N,60,0,285.0,215.0,64.0,103.0,38.0,569,2,1,22.45614035087719,75.43859649122807
6058515,Marshall Middle,64907,Los Angeles,Pomona Unified,6-8,N,62,0,285.0,276.0,60.0,62.0,23.0,1598,2,1,21.052631578947366,96.84210526315789
6043210,Del Mar Elementary,68809,San Luis Obispo,San Luis Coastal Unified,K-5,N,60,0,286.0,167.0,67.0,53.0,18.7,73,2,1,23.426573426573427,58.39160839160839
6002844,Pine Grove Elementary STEM Magnet,73981,Amador,Oro Madre Unified,No Data,No Data,60,0,286.0,143.0,59.0,45.0,16.4,18,2,1,20.62937062937063,50.0
6002844,Pine Grove Elementary STEM Magnet,73981,Amador,Amador County Unified,K-6,N,60,0,286.0,143.0,59.0,45.0,16.4,18,2,1,20.62937062937063,50.0
6029128,Lord Baden-Powell,66589,Orange,Magnolia Elementary,K-6,N,60,0,286.0,220.0,88.0,48.0,17.5,547,2,1,30.76923076923077,76.92307692307693
6027189,Ready Springs Elementary,76877,Nevada,Penn Valley Union Elementary,4-8,N,60,0,286.0,167.0,52.0,79.0,28.8,17,2,1,18.181818181818183,58.39160839160839
6005433,Pine Grove Elementary,61820,Del Norte,Del Norte County Unified,K-5,N,60,0,286.0,238.0,65.0,80.0,28.9,10,2,1,22.727272727272727,83.21678321678321
6049084,Foothill Elementary,69682,Santa Clara,Saratoga Union Elementary,K-5,N,60,0,286.0,27.0,55.0,20.0,7.0,319,2,1,19.230769230769234,9.44055944055944
6020093,Los Nietos Middle,64758,Los Angeles,Los Nietos,6-8,N,62,0,286.0,253.0,63.0,43.0,15.4,1598,2,1,22.02797202797203,88.46153846153845
6025894,Tulelake Basin Elementary,73593,Modoc,Tulelake Basin Joint Unified,K-6,N,60,0,287.0,245.0,45.0,62.0,22.1,7,2,1,15.6794425087108,85.36585365853658
6007884,Freshwater Elementary,62828,Humboldt,Freshwater Elementary,K-6,N,60,0,287.0,141.0,36.0,32.0,11.3,71,2,1,12.543554006968641,49.12891986062718
6007009,Orange Center Elementary,62331,Fresno,Orange Center,K-8,N,61,0,287.0,282.0,54.0,64.0,22.9,292,2,1,18.81533101045296,98.25783972125436
0124578,Hidden Valley Elementary,75002,Marin,Ross Valley Elementary,K-5,N,60,0,288.0,30.0,43.0,16.0,5.7,65,2,1,14.930555555555555,10.416666666666668
6055636,Arroyo Elementary,72603,Ventura,Simi Valley Unified,K-5,N,60,0,288.0,209.0,37.0,70.0,25.2,178,2,1,12.847222222222221,72.56944444444444
0100792,Think College Now Elementary,61259,Alameda,Oakland Unified,K-5,N,60,0,288.0,274.0,46.0,81.0,29.7,296,2,1,15.972222222222221,95.13888888888889
6096523,La Escuelita,61259,Alameda,Oakland Unified,K-5,N,60,0,288.0,269.0,49.0,60.0,21.5,296,2,1,17.01388888888889,93.40277777777779
6005748,American Union Elementary,76778,Fresno,Washington Unified,K-8,N,60,0,288.0,222.0,45.0,41.0,14.5,292,2,1,15.625,77.08333333333334
6018741,Playa del Rey Elementary,64733,Los Angeles,Los Angeles Unified,K-5,N,60,0,288.0,123.0,31.0,38.0,13.5,1598,2,1,10.76388888888889,42.70833333333333
6016208,Burton Street Elementary,64733,Los Angeles,Los Angeles Unified,K-5,N,60,0,288.0,283.0,87.0,61.0,21.5,1598,2,1,30.208333333333332,98.26388888888889
6007876,Linell K. Walker Elementary,76802,Humboldt,Fortuna Elementary,K-4,N,60,0,288.0,246.0,52.0,55.0,19.9,71,2,1,18.055555555555554,85.41666666666666
6049597,Green Acres Elementary,69765,Santa Cruz,Live Oak Elementary,K-5,N,60,0,289.0,165.0,69.0,44.0,15.9,58,2,1,23.875432525951556,57.09342560553633
